epoch,train_loss,val_loss,lr
1,0.3333973548894523,0.3121966413865527,0.001
2,0.053114063215480706,0.06534458366660664,0.001
3,0.03252474238632337,0.028850388155892207,0.001
4,0.02733679721788782,0.0251001041496481,0.001
5,0.025231870747690795,0.01485712327862742,0.001
6,0.024001618539768912,0.013378567210642059,0.001
7,0.023090202487746677,0.01596432703988389,0.001
8,0.022434535152639226,0.011107561067800024,0.001
9,0.02266904637231724,0.010178183397279264,0.001
10,0.021003924406783708,0.010130104518012373,0.001
11,0.020577026785323287,0.011834091816443586,0.001
12,0.020319347592582696,0.010290613036282443,0.001
13,0.01936033316342898,0.008974072905509925,0.001
14,0.01966693841227697,0.012208404735835624,0.001
15,0.02007495880828552,0.009017347193183887,0.001
16,0.019541355462768265,0.008562314531250507,0.001
17,0.01937974071086839,0.007401765372810495,0.001
18,0.01905904016434419,0.010525371821836901,0.001
19,0.01966973957777864,0.008250872241263264,0.001
20,0.01961129578629319,0.011397130613790829,0.001
21,0.01865792219440786,0.007245851468361497,0.001
22,0.017431268323634674,0.0074807028630098134,0.001
23,0.019032391535954034,0.006795975928067456,0.001
24,0.0179464187610822,0.006524334363671599,0.001
25,0.019789440292485833,0.007013605364780514,0.001
26,0.018095251675546056,0.007631906823067567,0.001
27,0.01821261288877257,0.010156093752661917,0.001
28,0.01845424805472779,0.008071915232036339,0.001
29,0.017576101868762413,0.007971281974656488,0.0005
30,0.017502055537158688,0.006385813450545021,0.0005
31,0.017947458475686146,0.006677438580230592,0.0005
32,0.01662014200509424,0.00639905276253123,0.0005
33,0.017339379903393487,0.006511913729101781,0.0005
34,0.01733863768581439,0.007169616403272058,0.0005
35,0.01737133649526163,0.006082951985202855,0.00025
36,0.017902569000275818,0.006709733240057022,0.00025
37,0.017570743624872258,0.006895846488686204,0.00025
38,0.017113119871520695,0.006309339419529659,0.00025
39,0.017538064322425488,0.006899766678520437,0.00025
40,0.01668909003903427,0.006206278516698695,0.000125
41,0.016431234019275525,0.006045910663068707,0.000125
42,0.017443996233836502,0.006132953014037751,0.000125
43,0.016781345461440188,0.006568983320277926,0.000125
44,0.016767465992000918,0.006216500689900564,0.000125
45,0.016773598309104968,0.006514977741141713,0.000125
46,0.0164959577661046,0.006254143077574898,6.25e-05
47,0.01663374627528132,0.007007107976447862,6.25e-05
48,0.016843914965063253,0.006770242798796157,6.25e-05
49,0.016686676872174816,0.006576863897827858,6.25e-05
50,0.016355618012886534,0.006279779741335262,3.125e-05
