,count,mean,std,min,25%,50%,75%,max
Temp_C,8784.0,8.798144353369763,11.687882769691276,-23.3,0.1,9.3,18.8,33.0
Dew Point Temp_C,8784.0,2.555293715846995,10.883072319155795,-28.5,-5.9,3.3,11.8,24.4
Rel Hum_%,8784.0,67.43169398907104,16.91888147007662,18.0,56.0,68.0,81.0,100.0
Wind Speed_km/h,8784.0,14.94546903460838,8.688696079468851,0.0,9.0,13.0,20.0,83.0
Visibility_km,8784.0,27.664446721311474,12.622688245171492,0.2,24.1,25.0,25.0,48.3
Press_kPa,8784.0,101.05162340619307,0.8440047459486483,97.52,100.56,101.07,101.59,103.65
