dataset,accuracy,precision,recall,f1,roc_auc
train,0.7946885384250224,0.5286855676990087,0.7758215041957494,0.6288438617401668,0.8719904712236114
test,0.795175639087169,0.5292740046838408,0.779921568627451,0.6306043503075655,0.8736703777957884
