epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
1,0.8587929234444913,0.7229541883234618,0.43085503996319935,0.7345358298206058,0.5431284430269644,0.8072744069330743,0.7767203674358953,0.7573733022724276,0.4742773150416463,0.7592156862745097,0.5838359469240049,0.8410272428046626
2,0.7491437237863966,0.7687658648615979,0.4899934434418808,0.7692383099696108,0.5986534683679503,0.8511495101766764,0.7438320458173742,0.769988132389785,0.49161094991800175,0.7641176470588236,0.5982958470868197,0.8516522254474278
3,0.7272167548761747,0.7777985341142599,0.5028866702816497,0.7727673757474758,0.6092786891581164,0.858905922335957,0.7302393152694808,0.7765812491758604,0.5010989010989011,0.76,0.6039735099337749,0.8572086789505899
4,0.7165348207411024,0.7826774941485446,0.5100790195129817,0.7751691010685227,0.6152858560118272,0.8631050592236151,0.723107633952345,0.779086633554569,0.504787784679089,0.7649019607843137,0.6082008107265358,0.8598733505072756
5,0.7103074953720931,0.7861608957946441,0.5153550237986568,0.7748259974512303,0.6189991385386483,0.8654994612398382,0.7187025681033898,0.7785152300997759,0.5039208124437589,0.7686274509803922,0.6087429148225794,0.8616050859752433
6,0.7062282767773759,0.7868751579618254,0.5164043918808849,0.7768846191549849,0.6204129562579509,0.8670562767119167,0.7156729792889425,0.7829545954023999,0.5105910041841004,0.765686274509804,0.6126451208032633,0.8628655211447221
7,0.7033832077855439,0.7890728877069987,0.5198018177642156,0.776492500735222,0.6227323650228974,0.8682564760157772,0.71398830641485,0.7846688057667794,0.5132289061471633,0.7645098039215686,0.6141608253918248,0.8634961136457302
8,0.7013872911214512,0.790028900146149,0.5213362353251549,0.7748750122537006,0.6233095454007807,0.8689247021540037,0.7125510405322535,0.785064392773944,0.5138412865805431,0.764313725490196,0.6145357086552105,0.8641070605342586
9,0.6997973898132454,0.7914354471830599,0.5234839476813318,0.7768356043525144,0.6254785113856111,0.8696618500428466,0.7115661282863394,0.7874379148169312,0.5175718849840255,0.7623529411764706,0.6165556612749762,0.8645549493946354
10,0.6986566566111534,0.7922156412425964,0.5247735041316829,0.775071071463582,0.6258236865538735,0.8700754860726683,0.7106510631163394,0.7869104654740451,0.5167020148462355,0.764313725490196,0.6165770325846252,0.8648775273522247
11,0.6976723045602916,0.7926771644890828,0.5254535203793984,0.7765905303401627,0.6268024923350806,0.8704875506657482,0.7097475419127911,0.7892839875170322,0.5204545454545455,0.7633333333333333,0.6189189189189189,0.8653005550982502
12,0.6969173909754494,0.7925013461094689,0.5252015794538275,0.7758062935006372,0.6263677555946893,0.8707978217730419,0.7096160434480866,0.7919651883433695,0.5249761807540493,0.7562745098039215,0.6197477303767976,0.8654743051829535
13,0.6963157019354441,0.7941826093645264,0.5279579961206609,0.773796686599353,0.6276638040712468,0.8710523834171631,0.7093774720572529,0.7886246758384247,0.5193870752831445,0.764313725490196,0.6184847282824276,0.8654510937001847
14,0.6958570402758399,0.7940837115259937,0.5277564509129753,0.7749240270561709,0.6278917373259993,0.8712339029320242,0.7090252758298548,0.7889763087336821,0.519851281370336,0.7676470588235295,0.6199034122397277,0.865665240318551
15,0.6954463487006638,0.7940177796336384,0.5275991871814517,0.7762964415253406,0.6282303008667024,0.8714428491728378,0.7086532306767553,0.7898993450837326,0.5213675213675214,0.7654901960784314,0.6202732761360026,0.8657815754481499
16,0.6951179597315764,0.7937320747667659,0.5271173477870515,0.7769826487599255,0.628112927191679,0.8715648502173771,0.7088231485490772,0.790514702650433,0.5223980686695279,0.7637254901960784,0.6204205160879261,0.8657367798969342
17,0.6947856669245034,0.7951825763985803,0.5295597062472754,0.7740417606117047,0.6288752165342573,0.8717110153561186,0.7084457871023259,0.7895477121884752,0.5207833733013589,0.7664705882352941,0.6201808662541647,0.8658365298416687
18,0.6946012530740997,0.7933694493588124,0.5265854794702868,0.7757082638956965,0.6273188520691295,0.8717639741975239,0.707891753267851,0.791305876664762,0.5236241610738255,0.7649019607843137,0.6216733067729083,0.8661188056889516
19,0.6942671492441842,0.794468314231399,0.5283056611322264,0.7766885599451034,0.6288594332883563,0.8719133037315242,0.7081672337824295,0.7921849589029054,0.5252237591537836,0.7594117647058823,0.620971620971621,0.8660340079604444
20,0.6940982219024135,0.7949298374778854,0.529110620357358,0.775071071463582,0.6288975501113586,0.8719903138513728,0.7077496629233706,0.7906465649861545,0.5226022803487592,0.763921568627451,0.6206292313819195,0.8661690500232726
21,0.6939525629444916,0.7935452677384262,0.5268266737583938,0.7767865895500441,0.6278424847476428,0.8720558900072648,0.707929414548191,0.7942508021625423,0.5286789869952088,0.7572549019607843,0.622652156388553,0.8661892510672615
22,0.6938395435903908,0.7948309396393526,0.5289532666510555,0.7750220566611117,0.6287702554925937,0.8720947489615469,0.7078274302752766,0.7914816931123907,0.5240475547149419,0.7605882352941177,0.6205407134858423,0.8661406230386324
23,0.6936141301287102,0.7952704855883872,0.5296659854601494,0.7749240270561709,0.6292412091301666,0.8722040042551966,0.7079484197371483,0.7920530965671838,0.52491559756921,0.7621568627450981,0.621671331467413,0.8661133402429013
24,0.6935728107018978,0.7948639055855301,0.529006356641017,0.7750220566611117,0.6288077626660303,0.8722272703359574,0.7078606439293843,0.7898553909718254,0.5213149806227448,0.7649019607843137,0.6200429150441071,0.8661455219445435
25,0.693427334928555,0.7936551542256849,0.5269982710466817,0.7768846191549849,0.6279963548476564,0.8723010355274514,0.7076239817682494,0.7935914904839347,0.527588090685605,0.7574509803921569,0.6219610368700692,0.8663118181383934
26,0.6932828983973628,0.7958858499170357,0.5306883461551383,0.7742868346240565,0.6297514401323526,0.8723497049401366,0.7077006412141376,0.7890202628455892,0.5199097425006637,0.7680392156862745,0.6200728193762862,0.8662529090725294
